"id","wrkstat","marital","childs","age","educ","paeduc","maeduc","speduc","degree","sex","race","born","parborn","granborn","income","rincome","polviews","cappun","postlife","happy","hapmar","owngun","news","tvhours","howpaid","ethnic","eth1","eth2","eth3","confinan","conbus","coneduc","conpress","conmedic","contv","agecat","childcat","news1","news2","news3","news4","news5","car1","car2","car3"
78,"Working full time","Married",3,49,12,8,12,12,"High school","Male","White","Yes","Both in U.S.",2,"$25000 or more","$25000 or more","Slightly conservative","Favor","Yes","Very happy","Very happy","Yes",NA,3,NA,"Germany","Germany",NA,NA,"Hardly any","Only some","A great deal","Only some","A great deal","Hardly any","45 to 54","3-4","No","No","Yes","No","No","American","American","Japanese"
79,"Retired","Married",8,82,8,6,8,8,"LT High school","Female","White","Yes","Both in U.S.",NA,"$20000 - 24999",NA,"Moderate","Favor",NA,"Pretty happy","Pretty happy",NA,"Every day",5,NA,"Germany","Germany",NA,NA,NA,NA,NA,NA,NA,NA,"65 or older","5 or more","Yes","No","Yes","No","No","German","German","Japanese"
80,"Working full time","Married",2,34,14,NA,NA,14,"High school","Male","White","Yes","Both in U.S.",NA,"$25000 or more","$25000 or more","Moderate","Favor",NA,"Very happy","Very happy","Yes",NA,NA,"Hourly wage","Other European","Other European","Scotland",NA,"A great deal","A great deal","Only some","Hardly any","Only some","A great deal","25 to 34","1-2","No","No","No","No","No","American","Korean",NA
81,"Retired","Widowed",5,79,13,8,11,NA,"High school","Male","White","Yes","Both in U.S.",NA,"$20000 - 24999",NA,"Slightly conservative","Favor","No","Very happy",NA,NA,"Every day",5,NA,"Other Canada","Scotland","Other Canada","Germany","A great deal","Only some","Only some","Only some","A great deal","Only some","65 or older","5 or more","Yes","No","Yes","No","No","Japanese",NA,NA
82,"Working full time","Divorced",6,46,12,NA,12,NA,"High school","Female","White","Yes","Both in U.S.",3,NA,"$20000 - 24999","Moderate","Favor","Yes","Pretty happy",NA,NA,"Few times a week",5,"Hourly wage","French Canada","Poland","Ireland","French Canada","Hardly any","Only some","Only some","Only some","Hardly any","Only some","45 to 54","5 or more","No","No","Yes","No","No","American","American",NA
83,"Working full time","Married",2,44,12,8,8,12,"High school","Female","White","Yes","Both in U.S.",0,NA,NA,"Moderate","Favor","Yes","Very happy","Very happy","Yes","Few times a week",4,NA,"Germany","Germany","Poland",NA,NA,NA,NA,NA,NA,NA,"35 to 44","1-2","No","No","Yes","No","Yes","German","German",NA
84,"Working part-time","Married",1,35,12,9,12,20,"High school","Male","White","No","Neither in U.S.",4,"$25000 or more","$25000 or more","Liberal","Favor",NA,"Very happy","Very happy","Yes",NA,NA,"Hourly wage","French Canada","French Canada",NA,NA,NA,"A great deal","Only some","Only some","A great deal","A great deal","35 to 44","1-2","No","No","No","No","No","Japanese","German","Japanese"
85,"Working full time","Married",2,39,12,12,12,12,"High school","Male","White","Yes","Both in U.S.",1,"$25000 or more","$25000 or more","Slightly conservative","Oppose","Yes","Very happy","Very happy","Yes",NA,3,"Weekly wage","Belgium","Belgium",NA,NA,"Only some","Only some","Only some","Only some","A great deal","Only some","35 to 44","1-2","No","No","Yes","No","No","Japanese","Japanese",NA
86,"Keeping house","Divorced",2,44,10,6,NA,NA,"LT High school","Male","White","Yes","Neither in U.S.",4,"$20000 - 24999",NA,"Slightly conservative","Favor","Yes","Not too happy",NA,"Yes","Once a week",2,NA,"England and Wales","England and Wales",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","1-2","No","Yes","No","Yes","Yes","American","German","Japanese"
87,"Working full time","Married",2,56,20,NA,16,18,"Graduate","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Liberal","Oppose",NA,"Very happy","Very happy","Yes",NA,1,NA,"Germany","Germany",NA,NA,"A great deal","A great deal","A great deal","Hardly any","A great deal","Only some","55 to 64","1-2","No","No","No","No","No","Other","Korean","Japanese"
88,"Working full time","Divorced",0,51,18,12,12,NA,"Bachelor","Male","White","Yes","Both in U.S.",1,"$25000 or more","$25000 or more","Moderate","Favor",NA,"Pretty happy",NA,"Yes",NA,NA,"Annual salary","Netherlands","Netherlands","England and Wales",NA,"Only some","A great deal","Only some","Only some","A great deal","Only some","45 to 54","None","No","No","No","No","No","Other","American","Japanese"
89,"Retired","Divorced",2,64,19,13,12,NA,"Graduate","Female","White","Yes","Neither in U.S.",4,NA,NA,"Moderate","Oppose",NA,"Pretty happy",NA,NA,"Every day",2,NA,"Other Canada","Other Canada",NA,NA,"Only some","Only some","Only some","Only some","Hardly any","Hardly any","55 to 64","1-2","Yes","No","No","No","No","Swedish","Other",NA
90,"Working full time","Married",1,33,20,15,16,16,"Graduate","Male","White","No","Neither in U.S.",4,"$25000 or more","$25000 or more","Moderate","Favor",NA,"Very happy","Pretty happy","No",NA,NA,"Annual salary","Ireland","Ireland",NA,NA,"Only some","Only some","Only some","Only some","Only some","Only some","25 to 34","1-2","No","No","No","No","No","Korean","German","American"
91,"Working full time","Married",0,50,20,12,12,20,"Graduate","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly liberal","Oppose","Yes","Pretty happy","Pretty happy","No","Every day",0,NA,"Germany","Germany",NA,NA,NA,NA,NA,NA,NA,NA,"45 to 54","None","Yes","No","No","No","No","American","Other",NA
92,"Retired","Married",3,69,17,6,9,15,"Bachelor","Male","White","Yes","Both in U.S.",0,"$25000 or more",NA,"Slightly liberal","Favor",NA,"Very happy","Very happy","No","Every day",3,NA,NA,"France","Germany",NA,NA,NA,NA,NA,NA,NA,"65 or older","3-4","Yes","No","Yes","No","No","Japanese",NA,NA
93,"Working full time","Married",0,34,18,19,16,17,"Graduate","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Conservative","Favor","Yes","Pretty happy","Very happy",NA,"Every day",2,NA,"England and Wales","England and Wales","Germany",NA,"Only some","A great deal","Hardly any","Hardly any","Only some","Hardly any","25 to 34","None","Yes","No","No","No","No","American","American","Japanese"
94,"Working full time","Divorced",0,42,16,12,12,NA,"Bachelor","Female","White","Yes","Neither in U.S.",4,"$20000 - 24999",NA,"Moderate","Favor","No","Not too happy",NA,"No","Less than once a week",0,"Hourly wage","Hungary","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","None","No","No","No","Yes","Yes","German","Other",NA
95,"Working part-time","Married",4,63,15,NA,0,14,"Junior college","Female","White","Yes","Neither in U.S.",4,"$25000 or more","$20000 - 24999","Moderate","Favor","No","Pretty happy","Pretty happy","No",NA,5,"Hourly wage","Russia","Russia",NA,NA,"Only some","A great deal","A great deal","Only some","A great deal","Only some","55 to 64","3-4","No","No","Yes","No","No","American","American",NA
96,"Working full time","Divorced",2,49,18,16,12,NA,"Graduate","Female","White","Yes","Mother only",4,"$25000 or more","$25000 or more","Liberal","Oppose","Yes","Very happy",NA,NA,"Every day",1,NA,NA,"Poland","Austria","Russia","Only some","Only some","A great deal","Only some","A great deal","Only some","45 to 54","1-2","Yes","No","No","No","No","German","American","American"
97,"Keeping house","Married",1,71,17,12,NA,16,"Bachelor","Female","White","No","Neither in U.S.",4,"$25000 or more",NA,"Conservative","Favor","Yes","Very happy","Very happy",NA,"Every day",5,NA,"France","France",NA,NA,"A great deal","A great deal","A great deal","Only some","A great deal","Only some","65 or older","1-2","Yes","No","Yes","No","No","Korean","Japanese","American"
98,"Working full time","Married",4,64,12,12,12,20,"High school","Female","White","Yes","Mother only",4,"$25000 or more","$3000 TO 3999","Liberal","Favor",NA,"Very happy","Very happy","No","Every day",3,NA,"Poland","Poland",NA,NA,NA,NA,NA,NA,NA,NA,"55 to 64","3-4","Yes","No","Yes","No","No","Japanese","Korean","German"
99,"Working full time","Married",4,48,16,12,12,18,"Bachelor","Female","Black","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly liberal","Oppose",NA,"Pretty happy","Pretty happy","No",NA,NA,"Weekly wage","American Indian","American Indian",NA,NA,"Only some","A great deal","Only some","Hardly any","Only some","Only some","45 to 54","3-4","No","No","No","No","No","Japanese",NA,NA
100,"Working part-time","Married",2,72,12,NA,NA,19,"High school","Female","White","Yes","Neither in U.S.",4,NA,NA,"Liberal","Favor",NA,"Pretty happy","Very happy","Yes",NA,NA,"Other pay rate","Russia","Russia",NA,NA,"Only some","A great deal","Only some","Only some","Only some","Only some","65 or older","1-2","No","No","No","No","No","American",NA,NA
101,"Working full time","Married",1,30,12,NA,12,12,"LT High school","Male","White","Yes","Father only",2,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Very happy","Very happy",NA,"Never",5,NA,"Germany","Germany",NA,NA,"A great deal","A great deal","Only some","Hardly any","A great deal","Hardly any","25 to 34","1-2","No","No","Yes","No","No","American","Korean","Korean"
102,"Working full time","Married",3,46,16,16,16,16,"Bachelor","Male","Other","No","Neither in U.S.",4,"$25000 or more","$25000 or more","Slightly conservative","Favor","Yes","Pretty happy","Pretty happy","No",NA,3,"Other pay rate","Other Asian","Other Asian",NA,NA,"Only some","A great deal","Hardly any","Only some","Only some","Hardly any","45 to 54","3-4","No","No","Yes","No","No","German","American",NA
103,"Working part-time","Never married",0,21,9,14,15,NA,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$10000 - 14999","Moderate",NA,NA,"Not too happy",NA,"No",NA,NA,"Hourly wage","Ireland","Ireland",NA,NA,"Hardly any","A great deal","Only some","Hardly any","Hardly any","Hardly any","Less than 25","None","No","No","No","No","No","Swedish","German","Japanese"
104,"Working full time","Never married",1,43,18,16,12,NA,"Bachelor","Female","White","Yes","Both in U.S.",3,"$20000 - 24999","$15000 - 19999","Slightly liberal","Oppose","Yes","Pretty happy",NA,NA,"Every day",2,"Daily wage","Italy","Italy",NA,NA,"Hardly any","Hardly any","Only some","Only some","Only some","Hardly any","35 to 44","1-2","Yes","No","No","No","No","Swedish","Swedish","Korean"
105,"Working full time","Never married",0,27,13,14,20,NA,"High school","Female","White","Yes","Mother only",NA,"$25000 or more","$25000 or more","Liberal",NA,NA,"Pretty happy",NA,"No","Once a week",1,NA,"Netherlands","Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","None","No","Yes","No","Yes","Yes","American","American","Japanese"
106,"Unemployed, laid off","Never married",0,22,10,12,10,NA,"LT High school","Male","White","Yes","Both in U.S.",0,"$20000 - 24999","$10000 - 14999","Moderate","Favor","No","Not too happy",NA,"No","Few times a week",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than 25","None","No","No","Yes","No","No","American","German","German"
107,"Working full time","Married",2,41,14,15,12,16,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more",NA,"Conservative","Favor","Yes","Pretty happy","Very happy",NA,"Every day",2,"Hourly wage","Ireland","Ireland","Poland",NA,"Only some","Only some","Only some","Hardly any","Only some","Hardly any","35 to 44","1-2","Yes","No","No","No","No","American","American","Japanese"
108,"Working full time","Married",1,37,13,NA,12,13,"High school","Female","Black","No","Neither in U.S.",4,"$25000 or more",NA,"Liberal","Oppose","Yes","Pretty happy","Very happy","No","Few times a week",6,"Hourly wage","Other Spanish","Other Spanish",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","1-2","No","No","Yes","No","No","Japanese",NA,NA
109,"Other","Divorced",3,55,9,3,11,NA,"LT High school","Female","White","Yes","Mother only",2,"$8000 TO 9999",NA,"Slightly liberal","Favor","Yes","Not too happy",NA,"No","Few times a week",5,NA,"England and Wales","England and Wales",NA,NA,NA,NA,NA,NA,NA,NA,"55 to 64","3-4","No","No","Yes","No","No","American","American","Japanese"
110,"Keeping house","Never married",5,30,6,NA,NA,NA,"LT High school","Female","White","Yes","Neither in U.S.",4,NA,NA,"Extremely liberal","Favor",NA,"Pretty happy",NA,"Yes",NA,NA,NA,"Puerto Rico","Puerto Rico",NA,NA,"A great deal","A great deal","A great deal",NA,"Hardly any","Hardly any","25 to 34","5 or more","No","No","No","No","No","German","American","Other"
111,"Unemployed, laid off","Never married",2,24,12,NA,12,NA,"High school","Female","White","Yes","Both in U.S.",0,NA,NA,"Conservative","Favor","Yes","Very happy",NA,NA,"Few times a week",3,NA,"Puerto Rico","Puerto Rico",NA,NA,"Only some","A great deal","Only some","Only some","Only some","Only some","Less than 25","1-2","No","No","Yes","No","Yes","Korean","German","American"
112,"Temporarily not working","Never married",2,26,11,NA,NA,NA,"LT High school","Female","White","Yes","Mother only",NA,NA,NA,"Moderate","Oppose",NA,"Not too happy",NA,"No","Once a week",1,NA,"Greece","Greece",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","1-2","No","Yes","No","Yes","Yes","Japanese","Japanese",NA
113,"School","Never married",0,19,12,NA,12,NA,"High school","Female","White","Yes","Both in U.S.",1,NA,NA,NA,"Favor","No","Pretty happy",NA,"No","Every day",2,NA,NA,"Ireland","Italy",NA,NA,NA,NA,NA,NA,NA,"Less than 25","None","Yes","No","No","No","No","German","American","Japanese"
114,"Keeping house","Married",2,26,11,NA,NA,12,"LT High school","Female","White","Yes","Both in U.S.",0,NA,NA,"Moderate","Favor","Yes","Very happy","Very happy",NA,"Few times a week",3,NA,NA,NA,NA,NA,"Only some","A great deal","Only some","Hardly any","Hardly any","Hardly any","25 to 34","1-2","No","No","Yes","No","Yes","American","American","Swedish"
115,"Other","Divorced",3,59,7,2,9,NA,"LT High school","Female","Other",NA,NA,NA,"$3000 TO 3999",NA,"Moderate","Oppose","Yes","Not too happy",NA,"No",NA,1,NA,"India","Spain","Africa","India","A great deal","Hardly any","Only some","A great deal","Hardly any","Hardly any","55 to 64","3-4","No","No","No","No","No","Japanese","American","Korean"
116,"Working full time","Divorced",6,40,13,6,12,NA,"High school","Male","White","Yes","Both in U.S.",4,"$25000 or more","$25000 or more","Liberal","Favor","Yes","Pretty happy",NA,"No","Every day",6,"Hourly wage","Norway","Norway",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","5 or more","Yes","No","Yes","No","No","American","Japanese","American"
117,"Retired","Widowed",2,79,8,NA,NA,NA,"LT High school","Female","White","Yes","Both in U.S.",NA,"$5000 TO 5999",NA,NA,"Favor",NA,"Very happy",NA,"No",NA,2,NA,NA,NA,NA,NA,"A great deal","Only some","Hardly any","A great deal","A great deal","A great deal","65 or older","1-2","No","No","No","No","No","Japanese",NA,NA
118,"Working full time","Divorced",1,56,13,NA,8,NA,"High school","Male","White","Yes","Both in U.S.",3,"$20000 - 24999","$20000 - 24999",NA,"Favor",NA,"Pretty happy",NA,"No",NA,NA,"Hourly wage","Germany","Germany",NA,NA,"Hardly any","Hardly any","Hardly any","Hardly any","Hardly any","Hardly any","55 to 64","1-2","No","No","No","No","No","Japanese",NA,NA
119,"Keeping house","Never married",1,54,18,NA,9,NA,"Bachelor","Female","Black","Yes","Mother only",2,"$25000 or more",NA,"Slightly liberal","Oppose","Yes","Not too happy",NA,"No","Once a week",6,NA,NA,"Non-Span Windies","Africa","American Indian",NA,NA,NA,NA,NA,NA,"45 to 54","1-2","No","Yes","Yes","No","No","Japanese","Other",NA
120,"Working full time","Never married",0,29,14,16,12,NA,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly liberal","Favor","Yes","Pretty happy",NA,NA,"Once a week",1,"Hourly wage","Ireland","Ireland","Germany",NA,"Hardly any","Only some","Only some","Only some","A great deal","Only some","25 to 34","None","No","Yes","No","Yes","Yes","American","American","American"
121,"School","Never married",0,23,16,14,16,NA,"Bachelor","Male","White","Yes","Both in U.S.",0,"$10000 - 14999",NA,"Liberal","Oppose","No","Very happy",NA,"No","Never",1,NA,NA,"Germany",NA,NA,NA,NA,NA,NA,NA,NA,"Less than 25","None","No","No","No","Yes","Yes","American","Japanese",NA
122,"Keeping house","Married",1,35,16,18,17,16,"Bachelor","Female","Black","Yes","Both in U.S.",0,"$25000 or more",NA,"Slightly liberal","Oppose","Yes","Pretty happy","Very happy","Yes","Few times a week",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","1-2","No","No","Yes","No","Yes","Korean","American","American"
123,"Working full time","Never married",1,26,12,12,10,NA,"High school","Male","Black","Yes","Both in U.S.",1,"$25000 or more","$25000 or more","Moderate","Oppose","Yes","Not too happy",NA,"No","Every day",1,NA,NA,"Africa","Austria","Non-Span Windies",NA,NA,NA,NA,NA,NA,"25 to 34","1-2","Yes","No","No","No","No","Korean","Korean",NA
